clip_id,group_idx,clip_name,matched_events,matched_keywords,similarity,local_desc,mp4_path,json_path,label
0rkvoaKm,1,IM_5,goal,goal:\bgoal\b,0.607,A green figure there in the centre of that goal. Tanya sends in the wrong way. Cooley taken. And Spall are in front here at the Olympics.,/home/eboccaletti/thesis_project/data/MOMENTS/0rkvoaKm/important-moments/1/IM_5.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/0rkvoaKm/important-moments/1/IM_5_v1.json,
0rkvoaKm,2,IM_1,goal,goal:\bputs? it (away|in)\b,0.604,"No way forward, he put it in there, El Sharawi does well, goes to Fizzle, Dzeko! Oh, the post, stretching for that.",/home/eboccaletti/thesis_project/data/MOMENTS/0rkvoaKm/important-moments/2/IM_1.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/0rkvoaKm/important-moments/2/IM_1_v1.json,
0rkvoaKm,2,IM_4,goal,goal:\bgoal\b,0.685,"Canaan's going in second half. Bison delivering, there is the second goal! And it's for Devanzi! And a shock is on the card!",/home/eboccaletti/thesis_project/data/MOMENTS/0rkvoaKm/important-moments/2/IM_4.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/0rkvoaKm/important-moments/2/IM_4_v1.json,
29Qtz4MD,1,IM_6,goal,goal:\bgoal\b,0.970,Because the technique that he's got is tremendous. Again they move it. Again! Juve take advantage. Emrejan. They have a two-goal lead.,/home/eboccaletti/thesis_project/data/MOMENTS/29Qtz4MD/important-moments/1/IM_6.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/29Qtz4MD/important-moments/1/IM_6_v1.json,
29Qtz4MD,1,IM_7,goal,goal:\bgoes in\b,0.850,"It's two against one, they go to sleep Napoli and when it comes in there's Jan and as it goes in...",/home/eboccaletti/thesis_project/data/MOMENTS/29Qtz4MD/important-moments/1/IM_7.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/29Qtz4MD/important-moments/1/IM_7_v1.json,
29Qtz4MD,2,IM_2,goal,goal:\bgoal\b,0.764,"Of course he still might not end up as Campo Canonnere which he'll desperately want. Quagliarella and Fiontek, plenty to say. Here's Insigne, that's a better ball in from Insigne! And Kyle Hahn pulls the goal back!",/home/eboccaletti/thesis_project/data/MOMENTS/29Qtz4MD/important-moments/2/IM_2.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/29Qtz4MD/important-moments/2/IM_2_v1.json,
29Qtz4MD,2,IM_3,goal,goal:\bgoal\b,0.544,And Kyle Hahn pulls the goal back. And we have a game.,/home/eboccaletti/thesis_project/data/MOMENTS/29Qtz4MD/important-moments/2/IM_3.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/29Qtz4MD/important-moments/2/IM_3_v1.json,
4IUxUAwJ,1,IM_12,goal,goal:\bgoal\b,0.637,"Stryker in form, my goodness, what a strike. Lukas Leva as well can see what's going to happen, he gets back, he's got no chance. Hasn't got time to jump, if he does he's not getting there, keeper can't get there, that's a brilliant strike. Pace power right in the top corner as well, up and over the wall. Deserved a goal, Milik, he's got one.",/home/eboccaletti/thesis_project/data/MOMENTS/4IUxUAwJ/important-moments/1/IM_12.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/4IUxUAwJ/important-moments/1/IM_12_v1.json,
4IUxUAwJ,2,IM_10,goal,goal:\bscores?\b,0.952,They have looked at it and quickly wiped it off. Nothing wrong with that. Here's Immobile. One-on-one and into the bottom corner. The man from Naples scores for the first time at the San Paolo.,/home/eboccaletti/thesis_project/data/MOMENTS/4IUxUAwJ/important-moments/2/IM_10.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/4IUxUAwJ/important-moments/2/IM_10_v1.json,
4IUxUAwJ,2,IM_11,goal,goal:\bgoal\b,1.000,And Lazio have a goal back and have substantial hope now. It's a brilliant finish.,/home/eboccaletti/thesis_project/data/MOMENTS/4IUxUAwJ/important-moments/2/IM_11.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/4IUxUAwJ/important-moments/2/IM_11_v1.json,
4IUxUAwJ,2,IM_1,goal,goal:\bgoal\b,0.995,We are underway and Lazio have to find a way of scoring the next goal.,/home/eboccaletti/thesis_project/data/MOMENTS/4IUxUAwJ/important-moments/2/IM_1.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/4IUxUAwJ/important-moments/2/IM_1_v1.json,
4tJXu8C7,2,IM_3,goal,goal:\bgoal\b,0.984,It is Nicola Pepe. A chance for his first Arsenal goal. And he takes it.,/home/eboccaletti/thesis_project/data/MOMENTS/4tJXu8C7/important-moments/2/IM_3.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/4tJXu8C7/important-moments/2/IM_3_v1.json,
4tJXu8C7,2,IM_8,goal,goal:\bgoal\b,0.940,To the loose ball on a couple of occasions here. Tries to drive it across the goal. Tyrone Mings.,/home/eboccaletti/thesis_project/data/MOMENTS/4tJXu8C7/important-moments/2/IM_8.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/4tJXu8C7/important-moments/2/IM_8_v1.json,
63fde7Re,1,IM_2,goal,goal:\bgoal\b,0.973,"Of course, Lorenzo Pellegrini. Another Roma youth player and Roman born. Here comes the young Turk, Under. Cuts back inside, decent delivery, back here! OOOOOOOOH! What a goal from Pastore! That is well clear!",/home/eboccaletti/thesis_project/data/MOMENTS/63fde7Re/important-moments/1/IM_2.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/63fde7Re/important-moments/1/IM_2_v1.json,
63fde7Re,1,IM_8,goal,goal:\bback of the net\b,0.918,Now Cristante under. First time ball in. It was an intelligent ball. Dzeko didn't make the run. Zapata did. Zapata outpacing Manolas. Cuts back inside. Plays a wonderful ball in. And there is the second. Rigoni on his Italian debut finds the back of the net.,/home/eboccaletti/thesis_project/data/MOMENTS/63fde7Re/important-moments/1/IM_8.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/63fde7Re/important-moments/1/IM_8_v1.json,
6LXKpLWN,1,IM_1,goal,goal:\bgoal\b,0.746,"Janic. There's the strength of Aleksandro again. He was won that by Rabiot, but it came the way of Ronaldo. Good footwork, good goal! Just like that, in the blink of an eye, Ronaldo shows his prowess. Lovely goal from him.",/home/eboccaletti/thesis_project/data/MOMENTS/6LXKpLWN/important-moments/1/IM_1.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/6LXKpLWN/important-moments/1/IM_1_v1.json,
6LXKpLWN,1,IM_4,goal,"goal:\bgoal\b,\bscored\b",0.846,"Orsodini. Polly Atwai. So Mbaye stayed forward. So too Danilo. Here is the centre half with a shot. Oh, it's a stunner. Danilo has scored a Bologna. With a wonderful half-vobby. What a goal for them.",/home/eboccaletti/thesis_project/data/MOMENTS/6LXKpLWN/important-moments/1/IM_4.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/6LXKpLWN/important-moments/1/IM_4_v1.json,
6ZIJp6HI,1,IM_7,goal,goal:\bscores?\b,0.707,"Oh, and they do score. An absolute beauty. And the wait is over for Sebastian Ali.",/home/eboccaletti/thesis_project/data/MOMENTS/6ZIJp6HI/important-moments/1/IM_7.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/6ZIJp6HI/important-moments/1/IM_7_v1.json,
6ZIJp6HI,2,IM_3,goal,goal:\bscores?\b,0.905,The second score for the first time this season and surely completes the job today for West Ham United.,/home/eboccaletti/thesis_project/data/MOMENTS/6ZIJp6HI/important-moments/2/IM_3.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/6ZIJp6HI/important-moments/2/IM_3_v1.json,
6qbIJsAD,2,IM_1,goal,goal:\bgoal\b,0.969,"So, Parma get us underway for the second half here. Goal is with Inter.",/home/eboccaletti/thesis_project/data/MOMENTS/6qbIJsAD/important-moments/2/IM_1.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/6qbIJsAD/important-moments/2/IM_1_v1.json,
6uUbMpl6,2,IM_1,goal,goal:\bgoal\b,0.881,"It's not just Ramsey. Sarri has said that Dybala and Benedisky can do a job there as well. Ronaldo, good determination. He wants a goal. Still there for Cristiano Ronaldo and Kedira.",/home/eboccaletti/thesis_project/data/MOMENTS/6uUbMpl6/important-moments/2/IM_1.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/6uUbMpl6/important-moments/2/IM_1_v1.json,
6uUbMpl6,2,IM_7,goal,goal:\bscored\b,0.963,"Pjanic having scored the first turn provider there, Ronaldo thumped it goalwards. And on another day Juventus might be...",/home/eboccaletti/thesis_project/data/MOMENTS/6uUbMpl6/important-moments/2/IM_7.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/6uUbMpl6/important-moments/2/IM_7_v1.json,
6uUbMpl6,2,IM_9,goal,goal:\bgoal\b,0.829,Waits for support in the middle. It's towards Ronaldo. It's time he has his goal. He's had to wait a while. Who says Di Vala and Ronaldo?,/home/eboccaletti/thesis_project/data/MOMENTS/6uUbMpl6/important-moments/2/IM_9.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/6uUbMpl6/important-moments/2/IM_9_v1.json,
6w99xiq5,2,IM_12,goal,goal:\bgoal\b,0.990,Is there a consolation goal from Lasagna trying to trick his way through? It's the end of a perfect week for Atalanta. They move into the Champions League spots.,/home/eboccaletti/thesis_project/data/MOMENTS/6w99xiq5/important-moments/2/IM_12.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/6w99xiq5/important-moments/2/IM_12_v1.json,
6w99xiq5,2,IM_3,goal,goal:\bgoal\b,0.997,Concedes a throw in. Gomez turns away from his man as he got the finish. Musso saves it. Zapata rolls it across goal. Piccoli is just a couple of yards away from where he needs to be. Atalanta turning the screw. Alejandro Gomez beginning to pull the string.,/home/eboccaletti/thesis_project/data/MOMENTS/6w99xiq5/important-moments/2/IM_3.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/6w99xiq5/important-moments/2/IM_3_v1.json,
6w99xiq5,2,IM_9,goal,"goal:\bgoal\b,\bscores?\b",0.978,Scores it! A goal to light up the night sky in Bergamo.,/home/eboccaletti/thesis_project/data/MOMENTS/6w99xiq5/important-moments/2/IM_9.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/6w99xiq5/important-moments/2/IM_9_v1.json,
86u5kz2f,1,IM_4,goal,goal:\bgoal\b,0.822,But that owes so much to the determination of Musse to see off Jones in the first place. Well if every goal has been coming the warning signs...,/home/eboccaletti/thesis_project/data/MOMENTS/86u5kz2f/important-moments/1/IM_4.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/86u5kz2f/important-moments/1/IM_4_v1.json,
86u5kz2f,2,IM_11,goal,goal:\bgoal\b,0.930,"It's a really good goal, clinical quality, incisive. And somehow...",/home/eboccaletti/thesis_project/data/MOMENTS/86u5kz2f/important-moments/2/IM_11.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/86u5kz2f/important-moments/2/IM_11_v1.json,
86u5kz2f,2,IM_8,goal,goal:\bgoal\b,0.966,"Here is Williams, the unexpected scorer of the first goal that ignited things to the visitors. And it's James Rashford! What an incredible turnaround!",/home/eboccaletti/thesis_project/data/MOMENTS/86u5kz2f/important-moments/2/IM_8.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/86u5kz2f/important-moments/2/IM_8_v1.json,
8GMb30I7,1,IM_6,goal,goal:\bgoal\b,0.830,"Into the last 60 seconds of the first half. Angolan with it. And the header towards goal is by Ferrago, acrobatically pushed away by Handanovic.",/home/eboccaletti/thesis_project/data/MOMENTS/8GMb30I7/important-moments/1/IM_6.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/8GMb30I7/important-moments/1/IM_6_v1.json,
8GMb30I7,1,IM_7,goal,"goal:\bgoal\b,\bscored\b",1.000,"As we see again, the save here from Handanovic to push it away to safety and maintain Inter's lead. Cagliari felt that the goal that Inter scored should have been disallowed by VAR.",/home/eboccaletti/thesis_project/data/MOMENTS/8GMb30I7/important-moments/1/IM_7.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/8GMb30I7/important-moments/1/IM_7_v1.json,
8GMb30I7,2,IM_1,goal,goal:\bgoal\b,0.912,With Young. Ferela on the overlap. Lukaku. Lukaku! Side netting. But allowed to turn there. He initially had his back to goal. Again you see defenders...,/home/eboccaletti/thesis_project/data/MOMENTS/8GMb30I7/important-moments/2/IM_1.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/8GMb30I7/important-moments/2/IM_1_v1.json,
8GMb30I7,2,IM_4,goal,goal:\bgoal\b,0.804,"It's a chance out of absolutely nothing. Seems to just kind of fudge his way forward, didn't he? Ends up his left foot. Always striking across the ball, always drifting away from goal.",/home/eboccaletti/thesis_project/data/MOMENTS/8GMb30I7/important-moments/2/IM_4.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/8GMb30I7/important-moments/2/IM_4_v1.json,
8GMb30I7,2,IM_6,goal,goal:\bgoal\b,0.993,"Ends up really testing the Inter goalkeeper. He's looking to put it into an area more than anything Pellegrini, but how is it towards Andanovic's goal?",/home/eboccaletti/thesis_project/data/MOMENTS/8GMb30I7/important-moments/2/IM_6.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/8GMb30I7/important-moments/2/IM_6_v1.json,
8GMb30I7,2,IM_7,goal,goal:\bscores?\b,0.883,"Pedro. Castro leaves it. Nangeland with the shot. Oh, he's got a touch on the way through and in off the inside of the post. And the man on loan from Inter scores.",/home/eboccaletti/thesis_project/data/MOMENTS/8GMb30I7/important-moments/2/IM_7.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/8GMb30I7/important-moments/2/IM_7_v1.json,
8S0QVm38,1,IM_10,goal,goal:\bgoal\b,0.916,"Brilliant goal, well deserved, it was well worked, they were patient Milan, they kept the ball alive. Juan Ventura doesn't panic, he plays a lovely little ball in behind. Rodriguez there.",/home/eboccaletti/thesis_project/data/MOMENTS/8S0QVm38/important-moments/1/IM_10.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/8S0QVm38/important-moments/1/IM_10_v1.json,
8WIVxCXg,2,IM_5,goal,"goal:\bback of the net\b,\bputs? it (away|in)\b",0.962,"He won the foot race, great little bit of skill as he chops inside. Goalkeeper's in no man's land, drops the shoulder. Now he's just put it in the back of the net.",/home/eboccaletti/thesis_project/data/MOMENTS/8WIVxCXg/important-moments/2/IM_5.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/8WIVxCXg/important-moments/2/IM_5_v1.json,
8WIVxCXg,2,IM_6,goal,goal:\bgoal\b,0.934,"Malinovsky goes short for Gomez. Free header! Should have been a goal. Big, big chance for Atalanta. Best chance.",/home/eboccaletti/thesis_project/data/MOMENTS/8WIVxCXg/important-moments/2/IM_6.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/8WIVxCXg/important-moments/2/IM_6_v1.json,
8WIVxCXg,2,IM_7,goal,goal:\bscores?\b,0.795,"You do, you score. Giveaway there by Verity. Gomez, really well pulled down, and now it's Zapata! And there is the breakthrough! Atavante in front, and Duván Zapata...",/home/eboccaletti/thesis_project/data/MOMENTS/8WIVxCXg/important-moments/2/IM_7.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/8WIVxCXg/important-moments/2/IM_7_v1.json,
ABcIbvu8,2,IM_7,goal,goal:\bscores?\b,0.896,"This is one huge, mighty kick for Southampton. It is James Ward-Prowse who's going to follow up and score after Leno saved. And Ward-Prowse gives Southampton the lead.",/home/eboccaletti/thesis_project/data/MOMENTS/ABcIbvu8/important-moments/2/IM_7.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/ABcIbvu8/important-moments/2/IM_7_v1.json,
ABcIbvu8,2,IM_9,goal,goal:\bputs? it (away|in)\b,0.874,Arsenal so unconvincing. Fabien helps it on them. Martinelli now. Can they grab a late equaliser still? They can! It's Lacazette who has put it in.,/home/eboccaletti/thesis_project/data/MOMENTS/ABcIbvu8/important-moments/2/IM_9.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/ABcIbvu8/important-moments/2/IM_9_v1.json,
AmNbkU2m,2,IM_1,goal,"goal:\bgoal\b,\bscores?\b",0.872,"It's Mindy again, seeing a lot of the ball. Everton in a better shape defensively. Gundogan to Jesus, lovely. And there's the goal, Bigfoot got something on it, not enough. Gabriel Jesus scores against Everton again, as he's done often in the past.",/home/eboccaletti/thesis_project/data/MOMENTS/AmNbkU2m/important-moments/2/IM_1.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/AmNbkU2m/important-moments/2/IM_1_v1.json,
AmNbkU2m,2,IM_8,goal,goal:\bgoal\b,0.872,See the bay inside but again asked rather too much of Theo Walcott. Oh look at this. All the confidence to keep it and then he gives it away. Gives it straight away. Keane. Walcott. Across the face of goal and they do have a goal. With Charleston arriving. And Everton get a goal back.,/home/eboccaletti/thesis_project/data/MOMENTS/AmNbkU2m/important-moments/2/IM_8.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/AmNbkU2m/important-moments/2/IM_8_v1.json,
CWsmcDnK,1,IM_14,goal,"goal:\bgoal\b,\bscores?\b",0.842,Sarkov left. A flick by Guillaume and that's 2-0. And it's Ruben Semedo who scores his fifth goal of the season. And inside 19 minutes Tottenham Hotspur find themselves 2-0 down.,/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/1/IM_14.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/1/IM_14_v1.json,
CWsmcDnK,1,IM_21,goal,goal:\bscores?\b,0.820,"Sometimes he's picking up the man, sometimes he's marking the space where he knows the ball's going to be. It's Aurier with the cross, oh he's missed it! Well the man repraising Mariah makes a total net of the clearance and Dele Alli scores. Well what a big moment that could be on the stroke of half-time for Tottenham Hotspur.",/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/1/IM_21.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/1/IM_21_v1.json,
CWsmcDnK,1,IM_2,goal,goal:\bgoal\b,1.000,"It's a good strike, there's not much else that Gazzaniga can do with it. Took a little bit of a deflection, so he just had to try and get it away from goal.",/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/1/IM_2.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/1/IM_2_v1.json,
CWsmcDnK,1,IM_3,goal,goal:\bgoal\b,0.961,"It's not quite happened so far, obviously in the first five minutes of this game, because in fairness to Olympiacos they've been the better side. Here's a chance for El Arabi to hit one all, he has hit it well hasn't he? It's an early goal for Olympiacos to put the cat amongst the pigeons in North London tonight. Couldn't have struck that any better.",/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/1/IM_3.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/1/IM_3_v1.json,
CWsmcDnK,1,IM_4,goal,goal:\bgoal\b,0.950,It's his eighth goal of the season and Olympiacos go ahead on Jose Mourinho's big Champions League return.,/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/1/IM_4.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/1/IM_4_v1.json,
CWsmcDnK,1,IM_8,goal,goal:\bgoal\b,0.986,This team could really have started any better. It's Yusuf El Arabi's eighth goal of the season.,/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/1/IM_8.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/1/IM_8_v1.json,
CWsmcDnK,2,IM_25,goal,goal:\bgoal\b,0.992,"And he's hit the 20 goal mark, he's now got 13 this season as well and he's way past 20 if you tally up the club and country goals.",/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/2/IM_25.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/2/IM_25_v1.json,
CWsmcDnK,2,IM_3,goal,"goal:\bback of the net\b,\bit's in\b",0.988,I think he just moved it in off. Whoops it in with pace. Right onto the head of Davinson Sanchez who heads it over. I think it was off his shoulder. Because if it's off his head it's in the back of the net.,/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/2/IM_3.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/2/IM_3_v1.json,
CWsmcDnK,2,IM_6,goal,goal:\bgoal\b,0.879,"It was another big, big chance for a defender. Another excellent set-piece, wasn't it? Excellent delivery again by Masoras. Lucas Moura following the quick throw. Lucas Moura pulls it back! And Harry Kane delivers! How often does the captain step up when Tordham meet him? Tordham 2, Olympiacos 2. It's another goal in the Champions League for Harry Kane.",/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/2/IM_6.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/CWsmcDnK/important-moments/2/IM_6_v1.json,
E5X6KOII,1,IM_1,goal,goal:\bgoal\b,0.902,"A couple of years, but he could be a good signing for Lecce as the season progresses. Here's Kluivert for Roma with Florenzi overlapping. Kluivert. Kolarov! Well, Gabriel got behind it, got two hands on it, but that's why Alexander Kolarov has been such a goal threat for Roma this season already. A little deflection as well.",/home/eboccaletti/thesis_project/data/MOMENTS/E5X6KOII/important-moments/1/IM_1.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/E5X6KOII/important-moments/1/IM_1_v1.json,
E5X6KOII,1,IM_2,goal,goal:\bgoal\b,0.932,There's been such a goal threat for Roma this season already. A little deflection as well. Keeper does... A little better than I thought at first. I thought...,/home/eboccaletti/thesis_project/data/MOMENTS/E5X6KOII/important-moments/1/IM_2.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/E5X6KOII/important-moments/1/IM_2_v1.json,
E5X6KOII,2,IM_2,goal,goal:\bscores?\b,0.962,"I'm sorry, you've got a score from here. Slips it through, gets a little bit lucky there. First touch, well, just drags it wide. How can you drag that wide?",/home/eboccaletti/thesis_project/data/MOMENTS/E5X6KOII/important-moments/2/IM_2.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/E5X6KOII/important-moments/2/IM_2_v1.json,
E5X6KOII,2,IM_4,goal,goal:\bback of the net\b,0.807,"With the Roma corner headed out by Babacar. Clivert has run it back here. Clivert, Mkhitaryan, clipped in dangerously and into the back of the net from Edin Dzeko.",/home/eboccaletti/thesis_project/data/MOMENTS/E5X6KOII/important-moments/2/IM_4.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/E5X6KOII/important-moments/2/IM_4_v1.json,
EPk1kLq4,1,IM_10,goal,goal:\bgoal\b,0.688,"Everton's number one. Only similar to the first Wolves goal, it flashes across. Fortunate deflection just lands at the feet of Wolves.",/home/eboccaletti/thesis_project/data/MOMENTS/EPk1kLq4/important-moments/1/IM_10.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/EPk1kLq4/important-moments/1/IM_10_v1.json,
EPk1kLq4,1,IM_6,goal,goal:\bgoal\b,0.891,"There's Richarlison. The offside flag against Sigurdsson. There's a cross, there's Uwevi! There's an Everton goal! Alex Uwevi to open his Premier League account.",/home/eboccaletti/thesis_project/data/MOMENTS/EPk1kLq4/important-moments/1/IM_6.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/EPk1kLq4/important-moments/1/IM_6_v1.json,
EPk1kLq4,1,IM_8,goal,goal:\bgoal\b,0.711,"The Wolves, King McGannley first to get his head to it. Traore, Neves, Jimenez, tied across the base of goal. Pick for them with a save there to Dneit Katronik, a goal on his Premier League.",/home/eboccaletti/thesis_project/data/MOMENTS/EPk1kLq4/important-moments/1/IM_8.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/EPk1kLq4/important-moments/1/IM_8_v1.json,
EPk1kLq4,1,IM_9,goal,goal:\bgoal\b,0.559,"Tonight, Kittronik, a goal on his Premier League debut.",/home/eboccaletti/thesis_project/data/MOMENTS/EPk1kLq4/important-moments/1/IM_9.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/EPk1kLq4/important-moments/1/IM_9_v1.json,
